Enrollment_Id,Name,PointsAwarded,PointsPossible
631,A1 Final Score,91.59,100.00
631,A2 Final Score,93.94,100.00
631,A3 Final Score,85.32,100.00
631,Attendance Quiz 1,1.00,1.00
631,Attendance Quiz 10,1.00,1.00
631,Attendance Quiz 2,1.00,1.00
631,Attendance Quiz 3,1.00,1.00
631,Attendance Quiz 4,1.00,1.00
631,Attendance Quiz 5,1.00,1.00
631,Attendance Quiz 6,1.00,1.00
631,Attendance Quiz 7,1.00,1.00
631,Attendance Quiz 8,1.00,1.00
631,Attendance Quiz 9,100.00,100.00
631,Exam 1,86.67,100.00
631,Exam 2,82.22,100.00
631,Extra Credit,2.00,8.00
631,Quiz 1,10.00,13.00
631,Quiz 10,1.00,1.00
631,Quiz 2,6.00,15.00
631,Quiz 3,9.00,15.00
631,Quiz 4,1.00,1.00
631,Quiz 5,18.00,20.00
631,Quiz 6,13.00,20.00
631,Quiz 7,13.00,20.00
631,Quiz 8,14.00,20.00
631,Quiz 9,1.00,1.00
632,A1 Final Score,95.25,100.00
632,A2 Final Score,59.60,100.00
632,A3 Final Score,77.66,100.00
632,Attendance Quiz 1,1.00,1.00
632,Attendance Quiz 10,1.00,1.00
632,Attendance Quiz 2,1.00,1.00
632,Attendance Quiz 3,0.00,1.00
632,Attendance Quiz 4,1.00,1.00
632,Attendance Quiz 5,1.00,1.00
632,Attendance Quiz 6,1.00,1.00
632,Attendance Quiz 7,1.00,1.00
632,Attendance Quiz 8,1.00,1.00
632,Attendance Quiz 9,0.00,100.00
632,Exam 1,72.50,100.00
632,Exam 2,64.44,100.00
632,Extra Credit,1.00,8.00
632,Quiz 1,9.00,13.00
632,Quiz 10,1.00,1.00
632,Quiz 2,11.00,15.00
632,Quiz 3,7.00,15.00
632,Quiz 4,1.00,1.00
632,Quiz 5,0.00,20.00
632,Quiz 6,0.00,20.00
632,Quiz 7,0.00,20.00
632,Quiz 8,0.00,20.00
632,Quiz 9,1.00,1.00
633,A1 Final Score,81.75,100.00
633,A2 Final Score,66.80,100.00
633,A3 Final Score,82.28,100.00
633,Attendance Quiz 1,1.00,1.00
633,Attendance Quiz 10,1.00,1.00
633,Attendance Quiz 2,1.00,1.00
633,Attendance Quiz 3,1.00,1.00
633,Attendance Quiz 4,1.00,1.00
633,Attendance Quiz 5,1.00,1.00
633,Attendance Quiz 6,1.00,1.00
633,Attendance Quiz 7,1.00,1.00
633,Attendance Quiz 8,1.00,1.00
633,Attendance Quiz 9,100.00,100.00
