A1 Final Score, 0.9159, A2 Final Score, 0.9394, A3 Final Score, 0.8532, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.8667, Exam 2, 0.8222, Extra Credit, 0.25, Quiz 1, 0.769230769231, Quiz 10, 1.0, Quiz 2, 0.4, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.9, Quiz 6, 0.65, Quiz 7, 0.65, Quiz 8, 0.7, Quiz 9, 1.0, 
A1 Final Score, 0.9525, A2 Final Score, 0.596, A3 Final Score, 0.7766, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 0.0, Exam 1, 0.725, Exam 2, 0.6444, Extra Credit, 0.125, Quiz 1, 0.692307692308, Quiz 10, 1.0, Quiz 2, 0.733333333333, Quiz 3, 0.466666666667, Quiz 4, 1.0, Quiz 5, 0.0, Quiz 6, 0.0, Quiz 7, 0.0, Quiz 8, 0.0, Quiz 9, 1.0, 
A1 Final Score, 0.8175, A2 Final Score, 0.668, A3 Final Score, 0.8228, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.5333, Exam 2, 0.8222, Extra Credit, 0.125, Quiz 1, 0.692307692308, Quiz 10, 1.0, Quiz 2, 0.6, Quiz 3, 0.533333333333, Quiz 4, 0.0, Quiz 5, 0.75, Quiz 6, 0.9, Quiz 7, 0.9, Quiz 8, 0.65, Quiz 9, 1.0, 
A1 Final Score, 0.4725, A2 Final Score, 0.6996, A3 Final Score, 0.928, Attendance Quiz 1, 0.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 0.0, Attendance Quiz 9, 0.0, Exam 1, 0.6, Exam 2, 0.8444, Extra Credit, 0.25, Quiz 1, 0.0, Quiz 10, 1.0, Quiz 2, 0.6, Quiz 3, 0.8, Quiz 4, 0.0, Quiz 5, 0.65, Quiz 6, 0.7, Quiz 7, 0.7, Quiz 8, 0.0, Quiz 9, 1.0, 
A1 Final Score, 0.9625, A2 Final Score, 0.968, A3 Final Score, 0.8623, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 0.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.6889, Exam 2, 0.8667, Extra Credit, 0.625, Quiz 1, 0.615384615385, Quiz 10, 1.0, Quiz 2, 0.533333333333, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.65, Quiz 6, 0.9, Quiz 7, 0.9, Quiz 8, 0.9, Quiz 9, 1.0, 
A1 Final Score, 0.9239, A2 Final Score, 0.958, A3 Final Score, 0.8642, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7556, Exam 2, 0.84, Extra Credit, 1.0, Quiz 1, 0.692307692308, Quiz 10, 1.0, Quiz 2, 0.0, Quiz 3, 0.666666666667, Quiz 4, 1.0, Quiz 5, 0.75, Quiz 6, 0.9, Quiz 7, 1.0, Quiz 8, 0.65, Quiz 9, 1.0, 
A1 Final Score, 0.9016, A2 Final Score, 0.9515, A3 Final Score, 0.9325, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.8222, Exam 2, 1.0667, Extra Credit, 0.75, Quiz 1, 0.846153846154, Quiz 10, 1.0, Quiz 2, 0.866666666667, Quiz 3, 0.8, Quiz 4, 1.0, Quiz 5, 0.9, Quiz 6, 1.0, Quiz 7, 1.0, Quiz 8, 0.9, Quiz 9, 1.0, 
A1 Final Score, 0.8325, A2 Final Score, 0.886, A3 Final Score, 0.7291, Attendance Quiz 1, 0.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.625, Exam 2, 0.6444, Extra Credit, 0.125, Quiz 1, 0.0, Quiz 10, 1.0, Quiz 2, 0.666666666667, Quiz 3, 0.533333333333, Quiz 4, 0.0, Quiz 5, 0.7, Quiz 6, 0.85, Quiz 7, 0.85, Quiz 8, 0.95, Quiz 9, 0.0, 
A1 Final Score, 0.955, A2 Final Score, 0.954, A3 Final Score, 0.904, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.9111, Exam 2, 0.9556, Extra Credit, 0.625, Quiz 1, 0.846153846154, Quiz 10, 1.0, Quiz 2, 0.8, Quiz 3, 0.8, Quiz 4, 1.0, Quiz 5, 0.7, Quiz 6, 0.95, Quiz 7, 0.95, Quiz 8, 0.95, Quiz 9, 1.0, 
A1 Final Score, 0.9725, A2 Final Score, 0.9584, A3 Final Score, 0.9235, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.67, Exam 2, 0.8444, Extra Credit, 1.0, Quiz 1, 0.461538461538, Quiz 10, 1.0, Quiz 2, 0.6, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.65, Quiz 6, 0.9, Quiz 7, 0.9, Quiz 8, 1.0, Quiz 9, 1.0, 
A1 Final Score, 0.9679, A2 Final Score, 0.896, A3 Final Score, 0.927, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7556, Exam 2, 0.8889, Extra Credit, 0.375, Quiz 1, 0.615384615385, Quiz 10, 1.0, Quiz 2, 0.0, Quiz 3, 0.8, Quiz 4, 1.0, Quiz 5, 0.7, Quiz 6, 0.65, Quiz 7, 0.65, Quiz 8, 1.0, Quiz 9, 1.0, 
